"","M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source"
"3958",5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,5,1,5,5,2,4,5,5,5,1,2,2,"BA",3
"3959",5,4,4,4,4,4,5,2,5,5,3,4,3,4,2,2,1,4,3,2,2,1,4,4,4,5,2,"US",1
"3960",5,4,4,3,5,4,5,5,5,4,5,2,4,3,4,4,1,3,3,2,4,3,5,4,4,3,4,"AU",1
"3961",4,4,4,4,4,4,5,4,4,4,2,4,4,4,4,5,1,5,4,4,4,3,3,4,5,1,4,"US",1
"3962",4,4,4,2,3,4,3,4,4,2,3,2,4,3,4,2,4,4,4,5,4,3,4,2,2,1,2,"IN",1
"3963",5,5,5,5,4,4,5,5,4,2,3,2,2,4,3,4,3,4,5,3,5,5,4,4,5,5,5,"IN",2
"3964",2,3,2,2,4,3,4,2,4,2,4,2,3,2,4,1,2,3,2,4,2,2,2,2,2,2,2,"DK",2
"3965",3,3,2,2,2,2,4,2,4,2,3,1,2,2,3,2,3,3,3,5,2,2,3,2,4,1,1,"DK",2
"3966",4,3,4,5,2,4,5,3,3,2,4,2,3,4,4,2,3,2,3,5,3,2,3,2,4,2,3,"CO",1
"3967",4,2,2,3,2,1,3,2,2,3,3,3,3,3,3,2,4,3,2,4,2,1,2,1,2,2,2,"GB",1
"3968",5,5,5,4,5,5,5,4,5,5,4,4,5,5,3,3,3,4,4,3,5,1,3,5,1,3,4,"US",3
"3969",5,1,3,4,4,4,5,3,4,3,5,1,5,4,5,4,2,2,2,4,2,1,1,2,4,5,1,"US",3
"3970",1,4,3,4,2,4,5,1,4,4,2,3,1,5,3,2,4,4,2,2,3,3,4,1,2,4,1,"GB",3
"3971",4,4,4,4,5,3,4,3,4,3,4,3,3,3,4,4,4,5,3,2,3,4,4,4,4,1,2,"PH",1
"3972",4,3,2,1,2,3,4,4,5,2,4,2,4,3,2,1,2,4,1,3,2,2,4,2,4,1,2,"PL",1
"3973",5,2,4,4,4,4,5,2,2,2,1,1,3,2,4,2,4,4,2,5,1,1,1,2,5,3,1,"US",3
"3974",5,5,5,2,3,3,5,2,5,3,3,1,3,3,3,3,3,3,3,5,2,3,3,3,2,1,3,"US",2
"3975",3,4,2,2,2,3,5,2,3,5,4,2,5,3,5,2,4,2,4,5,4,2,5,2,5,1,2,"US",3
"3976",2,4,4,4,2,3,2,4,4,4,2,3,4,4,2,1,2,2,2,2,2,2,4,3,4,2,3,"US",1
"3977",5,4,5,4,4,5,5,4,5,2,2,3,2,5,2,1,4,5,4,3,4,1,4,3,2,3,4,"US",2
"3978",4,2,1,1,2,2,2,2,3,5,4,1,3,2,4,2,4,4,4,2,3,3,4,4,4,1,1,"US",1
"3979",5,5,5,4,5,5,5,4,5,3,1,4,4,5,1,2,3,5,4,2,5,2,4,4,1,4,4,"US",2
"3980",3,4,2,2,2,3,5,4,4,5,5,2,5,3,4,2,3,3,4,4,4,2,5,2,5,1,2,"US",1
"3981",5,5,5,5,5,5,5,5,5,5,1,2,5,5,1,4,1,5,4,2,1,2,5,5,5,5,5,"US",1
"3982",3,4,4,4,2,4,4,5,4,2,2,3,1,2,4,1,4,3,3,2,3,2,2,2,2,4,3,"GB",1
"3983",4,1,2,2,3,4,2,2,4,5,3,1,3,4,3,4,2,3,3,2,3,1,4,4,4,3,1,"US",1
"3984",3,4,1,5,5,1,5,1,5,4,2,4,4,4,1,4,2,4,4,4,1,2,5,2,5,5,2,"US",2
"3985",5,5,4,5,5,5,5,4,5,2,1,3,2,5,3,4,4,4,5,4,4,4,2,1,4,2,4,"US",2
"3986",5,4,5,5,5,5,5,2,4,4,3,2,3,5,3,5,1,5,2,5,3,1,5,4,5,1,4,"RU",1
"3987",5,3,5,4,4,3,5,4,4,2,1,4,2,4,4,2,4,4,3,2,5,3,5,3,3,5,4,"US",2
"3988",3,2,3,2,4,4,5,2,3,2,2,1,2,3,4,1,3,4,3,3,4,2,5,3,5,1,1,"BH",3
"3989",5,5,2,4,4,4,5,2,5,3,4,3,4,3,4,1,4,4,4,4,3,1,2,3,5,1,4,"NL",2
"3990",3,4,5,4,4,4,4,4,5,3,4,2,2,4,2,2,4,4,4,3,2,2,3,2,1,3,2,"US",3
"3991",5,5,4,3,5,4,5,5,5,1,4,1,1,4,2,1,2,4,3,2,4,5,4,4,2,4,4,"GB",1
"3992",5,4,4,5,5,5,5,4,5,2,1,3,2,5,4,2,4,3,4,2,4,2,5,2,4,5,4,"US",2
"3993",4,5,4,3,5,4,4,4,2,3,1,2,4,4,1,3,3,4,3,3,3,3,4,5,5,3,5,"US",3
"3994",5,4,3,4,5,4,5,3,5,4,5,1,4,2,5,1,3,5,3,2,2,3,3,2,5,1,3,"US",3
"3995",4,4,3,2,3,4,4,3,4,4,2,2,3,4,3,3,3,3,4,3,3,2,4,3,4,3,2,"NO",1
"3996",5,5,5,5,4,5,5,4,5,3,5,5,3,4,1,4,3,4,2,5,3,2,3,5,5,1,3,"US",1
"3997",2,2,4,2,3,4,4,4,4,4,3,2,2,3,2,2,2,3,3,3,2,2,3,3,2,3,2,"US",1
"3998",5,5,4,5,5,3,5,3,5,3,5,1,1,1,5,4,5,1,1,5,1,1,5,3,5,3,1,"US",1
"3999",3,3,3,4,4,4,4,3,3,2,4,2,3,3,1,2,2,3,2,4,2,2,4,2,5,1,2,"US",3
"4000",5,4,5,1,4,4,5,5,5,2,3,2,4,4,3,4,1,4,2,3,4,4,5,3,3,4,4,"HU",2
"4001",5,4,5,5,5,5,5,5,5,4,1,5,5,5,4,5,1,5,4,2,2,2,5,3,1,3,3,"GB",3
"4002",5,4,1,3,3,4,4,2,5,3,1,4,1,4,2,3,3,3,1,3,4,1,5,5,1,4,3,"CA",2
"4003",4,1,1,3,3,4,5,3,4,1,5,1,1,1,5,1,4,0,4,5,1,1,1,4,5,2,1,"US",1
"4004",3,1,1,1,1,3,3,1,1,2,5,1,1,3,2,1,3,2,1,4,1,1,2,1,2,1,1,"US",3
"4005",5,3,5,5,5,5,5,5,4,4,2,4,4,5,1,3,1,5,4,3,4,2,5,3,3,4,4,"EE",1
"4006",5,5,2,2,4,5,5,5,5,2,2,4,2,4,4,4,1,5,5,4,2,4,4,4,2,2,4,"US",1
"4007",5,4,4,4,4,5,5,4,4,2,4,2,2,2,4,3,4,4,2,3,3,2,4,4,5,3,2,"RS",3
"4008",5,5,2,5,5,5,5,4,5,3,2,3,4,5,2,3,2,4,5,2,4,2,5,5,2,5,4,"NO",3
"4009",5,4,3,3,5,5,4,1,4,3,4,2,2,3,4,2,4,2,4,5,2,1,4,5,5,2,2,"GB",1
"4010",4,3,3,5,4,4,3,3,5,2,1,3,2,4,4,3,4,4,4,2,3,2,4,4,5,3,3,"SE",1
"4011",4,3,3,4,2,3,4,2,3,3,3,2,2,5,3,4,2,3,2,3,2,2,3,2,4,2,2,"MT",1
"4012",4,5,2,2,4,5,5,3,5,4,2,4,5,4,2,5,4,5,4,4,4,3,4,4,5,2,2,"GB",1
"4013",3,1,1,2,1,1,4,1,4,2,3,2,1,2,4,4,3,2,2,2,1,2,4,2,2,2,1,"AU",1
"4014",5,4,5,4,5,5,5,4,4,4,3,4,3,5,4,4,1,3,5,1,3,4,5,4,1,5,4,"US",2
"4015",4,4,3,4,4,5,4,1,3,4,3,2,2,3,2,2,2,2,1,4,1,1,2,3,4,1,1,"US",1
"4016",5,5,5,5,5,5,5,5,5,4,5,3,2,5,4,4,1,4,2,2,5,1,5,5,5,5,4,"GB",1
"4017",5,4,3,5,2,5,5,4,5,3,3,2,1,3,5,1,3,3,2,5,5,1,4,2,5,1,1,"FI",1
"4018",4,5,3,4,5,4,5,4,5,3,5,3,2,3,4,4,3,4,4,5,4,2,4,4,4,1,5,"RS",1
"4019",5,4,3,4,1,1,5,2,4,3,3,1,2,4,4,4,1,1,2,5,1,1,5,2,5,2,1,"US",1
"4020",4,1,3,3,2,2,5,1,4,4,1,4,4,4,5,5,2,2,2,2,1,3,2,1,2,2,2,"GB",1
"4021",5,4,3,3,4,5,5,3,4,4,4,2,1,3,4,3,2,3,2,4,2,2,4,4,4,2,2,"GB",1
"4022",5,3,4,4,4,5,5,4,4,3,5,3,3,4,2,3,2,4,4,2,4,2,4,4,4,3,3,"CA",1
"4023",5,5,3,4,5,5,5,3,5,4,4,3,3,3,3,3,3,3,3,5,2,1,4,3,1,3,4,"US",3
"4024",2,4,2,4,1,3,4,2,4,2,4,1,3,2,4,2,4,2,2,4,1,2,4,2,1,4,2,"US",1
"4025",5,4,4,4,3,3,4,4,4,4,2,2,1,4,5,2,2,4,3,2,2,3,4,2,3,4,2,"US",1
"4026",5,4,3,5,3,3,5,2,4,2,1,2,1,4,5,1,4,2,3,5,1,1,1,1,5,1,1,"BR",1
"4027",5,4,1,1,5,5,5,4,5,4,5,1,2,4,3,5,4,4,2,2,2,4,5,4,5,1,2,"US",1
"4028",5,0,4,3,5,5,4,4,5,4,3,4,4,4,2,4,1,5,4,1,4,4,5,4,0,4,5,"US",3
"4029",3,2,2,3,1,1,3,2,3,3,2,1,1,3,3,1,4,3,2,3,1,1,3,3,2,1,3,"US",1
"4030",5,5,5,4,5,5,5,5,5,4,1,5,4,5,1,5,1,5,5,1,5,5,5,5,1,5,5,"US",3
"4031",4,3,3,4,3,2,3,2,4,4,2,4,3,4,3,2,2,4,3,2,2,2,4,3,4,1,3,"RO",1
"4032",3,2,2,3,2,2,4,2,2,2,3,2,3,3,4,2,2,2,4,4,1,2,3,1,5,1,3,"DE",2
"4033",5,3,5,4,4,5,5,5,5,3,2,4,2,5,1,4,1,4,2,4,1,2,5,3,2,5,3,"NL",3
"4034",4,4,3,4,4,4,4,5,4,3,3,4,3,4,1,4,2,4,3,2,3,5,5,4,1,5,5,"US",1
"4035",4,3,2,4,2,2,5,2,5,4,2,2,4,3,4,4,1,2,2,2,2,2,2,2,4,3,4,"IE",3
"4036",4,3,4,4,4,3,5,3,3,3,3,3,3,5,2,3,4,3,3,4,3,2,3,3,4,3,4,"CA",1
"4037",4,2,3,1,2,1,3,5,2,3,4,2,3,2,5,4,3,3,2,3,1,3,2,3,5,4,1,"US",1
"4038",5,4,4,2,2,2,5,3,2,3,4,5,1,4,3,4,5,4,2,4,1,2,5,3,4,1,2,"PL",2
"4039",4,2,2,3,2,2,4,3,4,2,4,2,2,2,4,2,4,3,2,3,2,2,2,4,4,4,2,"US",1
"4040",4,3,2,4,3,4,5,4,5,4,2,3,2,3,4,4,1,4,3,2,2,4,4,3,4,2,3,"SE",3
"4041",5,4,3,4,4,4,5,2,5,4,5,2,1,2,4,2,5,3,3,2,3,3,5,4,2,2,4,"GB",1
"4042",5,5,5,4,4,3,5,5,5,5,1,4,1,5,5,5,1,5,3,4,1,5,5,3,1,5,3,"US",3
"4043",5,5,4,5,5,5,5,5,5,4,2,4,1,5,5,4,2,5,4,2,5,4,5,5,4,1,5,"GB",1
"4044",3,2,1,4,1,1,4,3,4,3,2,3,3,1,2,1,4,4,4,3,1,2,2,1,5,1,1,"DK",1
"4045",5,5,0,5,5,0,5,5,5,4,4,4,4,5,1,4,1,5,4,4,0,2,5,0,5,3,5,"GB",1
"4046",5,2,1,4,2,4,5,1,3,4,2,2,5,3,1,4,1,4,3,4,2,2,2,3,5,1,1,"CA",2
"4047",2,4,3,3,3,1,2,4,3,2,4,1,1,4,4,1,4,2,3,5,1,4,4,1,1,1,1,"AU",3
"4048",5,4,5,4,4,3,5,5,5,5,2,3,4,5,1,3,1,5,3,3,5,1,4,4,5,3,4,"DE",1
"4049",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"US",3
"4050",3,4,4,4,4,4,4,3,5,2,5,2,3,5,3,2,4,5,4,4,3,1,4,4,2,3,2,"US",3
"4051",4,3,5,3,4,4,5,4,4,5,2,4,2,5,1,4,2,4,4,4,4,2,5,3,3,5,4,"AU",3
"4052",4,5,5,5,5,5,5,5,5,5,1,4,4,5,3,4,2,5,3,3,5,4,4,5,5,3,5,"CA",1
"4053",5,4,4,5,3,2,4,2,3,2,4,1,3,4,5,4,2,3,3,3,2,1,2,2,5,1,4,"IE",3
"4054",5,5,5,5,5,5,5,5,5,5,2,4,5,5,2,5,1,5,5,5,5,2,5,5,5,1,5,"US",3
"4055",4,1,4,5,1,1,5,2,1,1,4,2,1,4,5,5,5,4,1,5,1,4,1,1,5,1,3,"GB",3
"4056",4,5,5,4,4,5,5,4,5,4,2,4,3,5,1,3,2,5,3,4,2,5,5,3,5,1,5,"CA",1
"4057",2,3,3,4,3,3,4,5,3,3,3,2,2,3,5,1,5,2,1,4,3,2,4,3,5,1,2,"CA",1
"4058",5,4,4,4,5,5,5,5,5,4,1,4,3,4,4,5,1,4,5,2,2,3,5,4,2,4,5,"GB",1
"4059",4,4,3,5,3,5,5,3,4,5,1,4,4,3,4,4,2,4,2,4,2,4,5,5,5,4,2,"US",2
"4060",3,3,4,3,4,4,2,2,4,4,2,4,2,5,4,4,2,3,4,4,2,1,5,4,5,1,4,"CA",1
"4061",4,2,2,4,2,2,4,3,4,2,4,2,2,2,4,2,3,3,2,2,2,2,2,2,2,2,2,"NZ",1
"4062",4,4,2,4,3,5,5,0,3,4,1,4,4,1,1,2,2,4,4,2,4,2,4,5,4,3,1,"US",2
"4063",5,4,5,1,5,3,5,5,5,3,5,3,1,3,4,1,1,5,5,5,5,1,5,4,5,1,5,"US",3
"4064",3,5,4,4,5,5,4,4,5,4,3,4,2,4,3,5,1,4,5,2,5,4,5,4,2,3,4,"US",1
"4065",3,5,5,5,5,5,5,1,5,4,4,1,4,3,4,1,5,1,1,5,5,1,5,2,5,4,2,"US",3
"4066",4,2,2,2,4,3,4,3,4,3,2,3,3,2,4,2,2,4,3,4,3,3,4,3,3,2,2,"US",1
"4067",3,4,3,4,4,4,4,3,4,3,3,4,1,3,3,3,4,3,3,4,2,1,4,4,5,1,3,"AU",1
"4068",5,4,3,3,5,5,5,4,5,3,3,3,1,4,2,2,4,4,2,3,2,2,4,4,5,3,3,"US",1
"4069",5,1,4,2,5,2,4,5,4,5,3,4,1,4,4,2,2,5,5,2,2,1,3,3,5,3,2,"US",3
"4070",4,4,5,3,4,4,5,4,5,3,3,3,2,4,3,2,1,3,4,2,4,2,5,3,5,2,4,"US",1
"4071",4,2,4,2,1,1,5,2,3,2,2,2,1,5,2,2,2,4,1,4,1,1,4,1,5,1,2,"US",1
"4072",5,3,3,4,2,3,5,3,3,3,5,3,2,2,4,3,2,4,4,5,4,1,2,3,5,3,3,"IN",3
"4073",5,5,4,5,5,5,5,5,5,2,4,2,4,5,3,3,4,3,5,2,4,2,4,2,5,2,4,"CA",1
"4074",4,3,4,4,4,3,5,3,3,1,3,2,1,4,4,1,3,3,2,2,3,1,3,3,5,1,2,"MX",1
"4075",4,3,4,4,4,4,3,3,4,4,4,2,4,3,3,2,2,3,3,3,3,3,3,2,4,3,3,"US",1
"4076",4,5,4,5,2,2,4,1,5,4,4,5,3,3,4,2,1,5,3,4,1,1,1,3,5,1,3,"US",1
"4077",5,4,4,4,5,5,5,1,4,4,2,2,1,3,2,1,2,2,3,2,2,1,1,2,5,2,2,"GB",2
"4078",5,5,5,5,5,4,5,5,5,2,2,4,2,4,2,2,1,4,5,3,5,2,3,3,5,5,3,"US",2
"4079",5,4,4,4,4,4,5,3,5,4,1,2,4,5,1,4,2,5,4,2,1,3,5,3,2,4,3,"US",2
"4080",4,3,3,4,5,4,5,2,4,4,4,4,2,3,3,4,4,5,2,5,1,1,3,2,4,1,2,"US",2
"4081",5,4,4,4,5,5,5,4,4,5,5,1,3,4,4,4,1,4,4,1,4,4,5,3,2,4,5,"US",1
"4082",5,4,5,4,4,4,5,4,4,2,4,2,3,4,4,3,1,5,3,5,4,2,5,4,5,4,1,"US",1
"4083",4,1,3,3,1,3,4,3,2,4,3,1,1,3,3,1,4,4,1,5,1,1,2,2,5,1,1,"US",2
"4084",4,4,4,4,2,4,4,2,4,3,2,2,3,4,2,2,2,4,3,2,3,3,4,2,5,3,2,"US",3
"4085",5,4,3,4,3,4,5,2,4,4,4,3,3,2,4,2,3,3,3,3,2,2,3,4,4,3,2,"US",1
"4086",5,4,5,5,4,5,4,5,5,5,2,5,5,5,1,5,1,5,3,1,4,1,5,2,2,1,4,"US",1
"4087",5,5,4,5,5,4,4,5,4,2,5,1,2,4,4,2,1,3,2,4,3,1,4,3,5,3,4,"US",1
"4088",4,1,3,2,4,4,5,2,2,2,5,1,2,2,5,1,4,2,4,4,4,1,5,2,5,1,1,"US",2
"4089",4,3,3,4,3,4,4,3,4,4,2,4,3,3,3,3,2,4,3,2,3,4,4,4,2,4,4,"US",1
"4090",3,4,4,3,4,4,4,3,4,4,3,3,3,4,4,4,2,4,3,3,4,3,4,3,3,3,4,"US",1
"4091",3,4,3,4,1,5,1,5,5,5,4,5,1,3,4,4,2,3,4,2,2,3,2,2,1,3,3,"US",2
"4092",5,5,5,4,5,5,5,5,5,3,1,5,5,5,2,2,1,4,3,3,2,2,5,5,3,1,5,"US",3
"4093",2,3,2,2,4,1,4,3,4,4,2,2,3,4,5,1,4,3,4,4,1,1,2,2,5,2,3,"TR",2
"4094",5,5,5,5,5,5,5,5,5,4,1,5,5,5,1,1,1,5,4,2,3,1,5,5,4,1,5,"US",3
"4095",2,2,1,2,2,2,2,2,3,5,1,5,5,3,4,4,1,4,2,2,2,4,2,2,5,1,1,"US",3
"4096",5,1,3,2,5,5,5,1,4,3,2,3,2,3,1,2,2,3,1,1,5,3,4,3,5,4,3,"CA",1
"4097",5,4,4,4,5,4,5,3,5,4,2,2,2,3,1,4,1,5,2,1,2,2,2,4,2,5,3,"US",1
"4098",5,5,5,5,5,5,5,4,5,4,4,4,3,5,2,4,3,5,5,2,4,4,5,5,3,5,5,"IN",2
"4099",4,4,4,3,3,4,4,3,4,3,4,3,1,4,3,3,2,4,4,3,3,4,5,3,1,4,4,"US",1
"4100",4,5,5,5,4,5,5,3,5,5,1,4,5,5,1,5,1,5,5,1,2,2,2,4,1,5,5,"US",1
"4101",5,4,3,4,5,5,5,4,4,1,5,2,1,3,5,1,3,3,4,5,5,4,5,4,4,1,2,"CA",3
"4102",2,1,2,2,4,4,4,2,4,3,2,2,3,4,2,4,4,4,3,5,2,3,4,3,5,1,2,"US",1
"4103",5,4,4,3,5,4,4,4,5,3,4,2,4,4,5,4,3,4,2,5,4,2,4,3,4,1,4,"US",1
"4104",4,5,4,4,3,3,4,5,4,4,1,4,2,3,2,3,1,4,3,3,2,2,4,4,2,3,4,"US",1
"4105",5,5,5,4,5,5,5,5,5,2,1,3,5,4,2,5,1,5,4,2,4,5,5,4,4,1,5,"US",1
"4106",5,4,5,5,4,4,5,1,4,3,4,3,3,3,5,2,4,4,2,4,2,3,5,2,5,3,3,"US",1
"4107",5,4,2,4,4,4,5,3,5,4,3,2,1,2,2,1,2,2,3,4,3,1,4,3,2,5,2,"US",2
"4108",5,4,5,4,4,4,5,4,4,3,5,2,4,4,5,4,2,4,4,4,2,2,4,2,5,1,2,"US",1
"4109",2,2,2,4,2,2,4,3,4,2,3,3,2,2,4,4,3,2,3,4,1,3,4,2,4,1,2,"MX",1
"4110",4,5,4,4,4,4,5,4,5,3,1,2,2,3,4,2,3,5,4,1,4,1,4,4,1,3,4,"US",1
"4111",4,4,4,2,2,5,4,3,4,3,3,2,2,3,5,4,5,3,2,5,4,2,5,1,5,2,4,"US",1
"4112",4,3,4,4,4,4,5,2,4,4,3,2,3,4,3,4,1,4,2,3,1,1,4,3,3,2,4,"US",1
"4113",4,3,4,3,3,4,5,3,5,2,3,2,1,4,5,4,5,1,1,5,4,1,5,1,5,3,3,"US",3
"4114",1,1,1,1,1,1,1,1,3,3,2,1,1,3,3,1,5,1,1,4,1,1,1,1,5,1,1,"US",1
"4115",5,4,4,5,4,5,5,5,5,3,3,4,3,4,2,4,2,3,4,3,4,3,5,4,4,3,4,"AU",1
"4116",5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,2,2,5,3,4,4,2,4,4,4,4,4,"SG",1
"4117",5,5,2,3,3,5,5,3,5,3,4,3,2,3,1,4,1,5,2,5,2,2,5,3,5,1,5,"RO",1
"4118",2,1,1,3,4,3,3,1,1,4,3,2,2,2,1,2,4,2,1,2,1,1,1,1,5,2,1,"IN",1
"4119",4,3,3,4,4,4,4,2,3,4,4,2,2,4,4,4,2,4,4,4,2,2,4,2,4,3,2,"US",1
"4120",5,4,3,3,3,5,5,5,5,3,5,3,2,3,5,5,3,5,3,3,1,3,5,4,2,1,2,"US",1
"4121",5,4,2,3,5,5,5,4,4,4,3,5,4,3,2,4,2,4,4,4,4,4,5,5,4,3,4,"CA",3
"4122",4,4,3,3,4,5,5,4,5,2,4,1,3,3,2,4,2,5,3,3,3,2,5,4,4,4,2,"US",1
"4123",3,3,4,2,4,2,4,3,3,3,2,4,2,4,4,3,3,4,3,3,2,1,3,2,5,1,3,"EU",1
"4124",4,5,3,4,4,4,3,2,5,5,1,4,4,5,1,5,1,4,4,1,3,4,4,2,2,5,3,"US",1
"4125",5,5,2,4,5,4,4,2,5,5,4,2,2,2,4,4,1,5,5,4,1,1,4,2,5,1,2,"MU",3
"4126",4,4,3,4,1,2,4,3,5,4,2,1,1,4,4,3,4,3,3,4,1,1,3,2,4,1,2,"GB",1
"4127",4,4,4,3,3,3,3,4,5,4,2,3,4,4,2,3,1,4,3,2,4,1,4,4,4,4,3,"RU",3
"4128",5,5,4,4,5,5,5,5,5,3,2,5,4,4,2,2,1,5,5,1,5,5,5,5,4,5,5,"DE",1
"4129",4,3,3,4,3,2,4,2,3,4,3,2,3,3,3,3,2,2,2,1,1,1,2,2,5,3,2,"US",1
"4130",3,1,2,4,3,4,2,1,1,3,3,2,2,2,5,2,4,5,3,5,5,4,5,4,3,1,1,"RO",2
"4131",4,5,4,2,3,3,5,4,5,5,1,4,4,4,2,4,1,5,2,1,1,1,5,3,5,4,4,"GB",3
"4132",4,2,1,1,1,3,4,2,3,1,5,1,1,2,3,1,5,1,1,4,1,2,2,1,5,1,1,"US",3
"4133",4,5,5,4,5,5,5,5,5,5,2,5,4,5,3,4,2,5,5,2,2,3,5,4,0,5,5,"GB",1
"4134",4,4,4,4,4,4,4,4,4,3,2,2,2,4,2,2,2,4,4,2,4,4,4,3,2,4,4,"IE",1
"4135",4,2,3,5,4,5,4,3,4,1,5,2,4,4,4,3,4,4,3,5,3,2,4,3,5,2,2,"IN",3
"4136",5,1,1,4,4,3,5,1,5,5,2,5,1,1,5,1,5,1,5,1,3,1,2,4,5,1,1,"GB",1
"4137",4,4,4,3,4,4,5,3,5,4,3,3,2,4,3,3,1,4,4,2,2,2,4,3,2,1,3,"US",1
"4138",1,5,3,4,5,3,4,2,5,3,4,2,1,4,4,3,3,3,4,4,1,2,3,3,2,1,5,"LV",1
"4139",4,4,4,4,5,5,4,2,5,4,3,4,4,3,3,4,3,4,3,3,3,3,5,5,5,3,1,"US",2
"4140",5,4,4,4,4,4,5,4,4,4,2,4,4,4,2,0,2,4,4,3,5,4,4,4,3,2,4,"BD",2
"4141",4,4,1,1,1,3,5,3,3,4,5,1,1,1,5,5,5,5,4,2,1,1,1,1,5,1,1,"AU",1
"4142",4,4,3,4,4,4,5,3,5,3,2,3,4,4,3,3,2,4,3,2,4,4,5,3,4,1,4,"US",3
"4143",5,4,4,4,5,4,5,4,3,3,2,4,2,5,3,3,1,3,4,4,4,4,4,3,3,3,4,"CL",1
"4144",5,4,4,1,4,2,4,5,4,2,1,3,3,2,2,2,4,2,4,1,5,1,4,4,4,3,2,"ZA",1
"4145",4,4,3,4,5,4,4,4,4,4,2,3,2,2,4,2,2,4,4,2,4,4,5,4,2,4,5,"US",2
"4146",4,4,4,1,2,5,4,3,4,3,3,2,2,3,3,1,4,3,4,4,1,4,4,2,2,1,2,"GB",1
"4147",3,4,5,4,4,3,5,3,4,5,2,5,4,4,3,3,3,4,2,3,3,2,4,3,5,1,1,"MY",1
"4148",5,5,4,4,4,5,4,3,5,5,5,3,1,5,3,1,4,4,5,5,5,4,5,2,5,2,3,"US",1
"4149",5,4,5,5,5,5,5,4,5,4,4,2,2,5,4,2,2,4,1,4,5,2,5,5,5,1,4,"IN",2
"4150",3,2,4,4,2,2,4,2,3,4,2,4,4,4,3,4,1,3,2,2,1,3,2,2,1,5,2,"US",2
"4151",5,4,5,5,5,5,5,5,5,4,4,3,4,5,3,3,5,5,4,4,5,3,5,3,4,2,2,"ID",1
"4152",5,5,4,5,4,4,4,5,4,3,3,3,3,4,3,3,1,5,5,2,3,4,4,4,5,3,5,"US",2
"4153",5,3,3,4,3,4,5,3,4,3,3,2,3,4,4,2,4,2,2,4,2,2,4,3,3,1,1,"AU",1
"4154",5,4,4,5,5,4,5,4,4,3,4,2,2,3,4,1,4,4,3,5,3,2,3,4,5,2,2,"CA",1
"4155",3,4,4,4,5,3,5,4,5,4,3,3,3,5,4,5,3,4,5,3,3,2,4,5,3,3,4,"ID",3
"4156",4,3,3,4,4,4,4,3,4,4,1,4,2,4,3,2,4,3,3,3,2,2,4,4,5,1,2,"US",1
"4157",5,2,1,4,1,4,5,1,1,1,2,5,2,2,4,1,4,5,2,2,2,1,4,5,5,1,1,"GB",1
"4158",5,5,4,5,5,5,5,4,5,1,5,5,1,1,5,1,3,2,3,5,5,1,4,1,5,1,4,"US",1
"4159",4,2,5,3,2,4,5,3,3,3,2,5,2,5,2,5,2,4,3,2,4,1,3,3,4,4,2,"GB",1
"4160",4,4,4,4,2,4,4,3,4,4,4,3,4,4,4,2,2,3,2,2,4,2,2,3,3,2,4,"US",1
"4161",3,1,4,4,2,1,4,2,4,2,3,1,1,3,4,1,4,2,1,3,1,1,2,1,5,3,1,"US",1
"4162",5,5,5,4,4,5,5,4,4,4,1,2,1,5,2,4,3,3,2,4,2,2,4,2,5,4,4,"US",1
"4163",5,5,4,5,5,5,5,3,4,4,4,3,4,5,4,3,4,4,5,1,5,5,5,5,2,1,5,"US",1
"4164",5,5,4,4,5,5,5,5,5,3,5,2,5,3,4,5,3,4,3,4,2,1,5,3,4,1,3,"US",1
"4165",2,1,1,3,1,1,4,1,4,2,3,1,1,1,4,2,4,1,2,3,1,1,4,1,4,3,1,"US",1
"4166",5,3,2,5,4,4,4,2,2,2,4,2,4,4,4,2,2,2,3,4,4,4,2,4,5,1,2,"IN",1
"4167",5,5,5,5,5,4,5,5,5,5,3,2,1,5,2,4,4,5,5,3,5,1,4,4,5,3,4,"AU",2
"4168",4,4,2,2,4,4,4,3,4,4,5,2,2,2,4,2,2,2,4,4,4,3,4,3,4,1,3,"US",1
"4169",5,3,4,3,4,4,5,3,4,4,3,2,3,3,4,2,3,4,2,2,4,2,4,3,5,1,2,"US",1
"4170",5,4,4,4,5,5,5,4,5,3,4,4,4,3,3,4,1,4,4,2,4,3,4,4,5,4,4,"US",1
"4171",4,4,5,4,5,5,5,4,5,5,5,3,3,4,5,4,1,5,5,2,3,3,5,5,5,1,4,"US",1
"4172",3,3,1,4,1,5,5,3,4,3,1,4,3,3,1,3,1,1,3,1,3,3,4,3,2,2,1,"US",1
"4173",4,2,3,4,2,2,5,3,3,3,5,2,3,3,4,2,3,3,1,5,1,1,2,2,3,1,2,"US",1
"4174",5,5,5,4,5,5,5,4,5,4,5,2,4,4,2,4,2,4,5,2,2,5,4,4,5,1,4,"GB",1
"4175",1,1,2,1,1,1,4,2,4,1,2,1,5,2,3,4,1,3,1,1,1,3,1,2,5,2,1,"US",1
"4176",5,4,3,4,3,4,5,5,4,4,2,3,1,3,5,1,4,2,2,2,1,3,2,2,5,1,3,"GB",1
