"","HSNS1","HSNS2","HSNS3","HSNS4","HSNS5","HSNS6","HSNS7","HSNS8","HSNS9","HSNS10","DDP1","DDP2","DDP3","DDP4","DDN1","DDN2","DDN3","DDN4","DDM1","DDM2","DDM3","DDM4","age","gender","accuracy","country"
"13473",2,4,5,3,2,5,5,4,4,2,2,2,3,5,5,3,3,2,5,4,4,3,33,1,90,"US"
"13474",4,1,1,2,2,5,2,2,2,2,4,3,4,3,4,4,4,2,4,4,4,2,32,1,97,"US"
"13475",3,3,2,2,5,3,4,4,2,2,4,1,1,2,3,2,4,1,2,1,2,1,23,1,85,"US"
"13476",3,3,4,2,5,3,3,4,4,3,2,2,4,4,3,2,2,2,2,2,2,2,29,1,90,"US"
"13477",5,5,5,4,2,4,5,3,4,2,2,4,3,5,3,3,2,4,3,4,5,3,24,2,80,"US"
"13478",4,1,2,2,4,4,2,4,4,2,1,2,4,5,4,2,2,2,2,2,2,2,40,1,95,"US"
"13479",3,3,1,2,2,4,2,2,4,2,1,1,2,3,4,5,4,2,2,4,3,2,27,2,50,"NZ"
"13480",2,1,1,1,5,2,2,2,4,2,3,1,3,5,4,3,4,2,1,4,5,3,26,1,90,"US"
"13481",5,5,4,2,2,4,5,4,4,4,2,2,2,2,5,4,1,1,2,4,2,2,33,1,80,"US"
"13482",4,4,4,2,4,2,4,2,4,4,2,2,2,3,4,3,2,2,2,4,4,2,42,1,75,"US"
"13483",3,2,3,2,4,4,4,4,3,2,2,2,3,4,4,4,2,2,2,4,2,2,21,1,55,"US"
"13484",5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,25,1,100,"FR"
"13485",2,5,5,1,3,5,4,1,5,2,1,1,2,5,5,3,1,1,1,4,4,1,18,2,90,"US"
"13486",5,4,2,3,5,4,4,4,4,2,4,2,4,5,5,5,5,3,2,4,2,2,33,1,90,"US"
"13487",2,2,4,1,4,4,2,2,4,4,2,1,2,4,2,2,1,2,2,2,1,1,27,1,75,"US"
"13488",5,5,5,4,4,5,5,5,5,1,1,1,2,4,5,5,5,4,3,2,4,3,29,2,80,"NL"
"13489",3,2,4,2,2,2,4,2,4,2,1,3,2,5,5,4,4,3,2,4,2,2,25,2,80,"GB"
"13490",5,1,2,3,5,4,3,5,5,4,3,5,3,5,4,4,2,2,5,5,4,4,22,1,90,"NO"
"13491",5,5,3,2,2,5,5,5,2,2,4,2,3,3,4,5,3,4,5,3,4,2,42,2,85,"US"
"13492",5,4,5,2,4,5,5,4,4,3,4,2,2,4,5,5,4,3,3,4,3,3,30,1,90,"US"
"13493",1,2,4,1,4,2,2,2,3,3,2,1,3,2,3,2,1,2,1,4,3,2,31,1,90,"US"
"13494",4,4,5,3,5,3,4,4,5,2,4,4,3,4,4,3,3,4,4,5,4,4,29,1,90,"GB"
"13495",2,2,4,4,3,4,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,15,2,70,"CA"
"13496",5,4,4,2,5,5,5,4,4,4,4,3,5,5,3,4,2,4,4,4,5,4,28,1,80,"US"
"13497",3,4,3,3,4,4,3,4,4,2,2,1,4,3,2,3,2,3,4,4,5,4,21,2,92,"US"
"13498",1,2,3,4,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,15,2,50,"CA"
"13499",4,4,2,4,4,3,4,5,4,4,2,3,3,4,5,4,4,3,4,5,4,3,32,1,80,"US"
"13500",3,4,3,2,1,4,4,2,4,1,1,1,1,3,4,3,2,2,1,3,2,1,23,2,90,"CA"
"13501",2,2,5,2,5,4,2,2,2,3,3,2,4,5,1,1,1,1,3,4,4,3,42,2,75,"US"
"13502",4,2,2,2,1,4,4,1,2,1,3,3,2,4,4,4,1,2,1,4,4,1,18,2,89,"GB"
"13503",5,5,5,4,4,5,4,5,5,3,5,5,5,5,5,5,5,2,5,5,5,5,19,1,70,"HR"
"13504",4,3,1,2,4,4,4,2,4,2,1,2,2,5,4,1,3,4,4,4,2,2,31,1,90,"US"
"13505",5,5,5,5,5,5,5,4,5,4,3,5,5,5,5,4,5,5,5,4,5,4,48,1,75,"BE"
"13506",5,2,1,4,4,5,4,4,4,5,4,2,4,4,5,5,5,4,4,5,5,3,21,2,90,"US"
"13507",5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,2,80,"US"
"13508",4,2,0,2,1,4,1,4,4,2,2,2,2,4,5,4,4,4,4,2,3,3,18,1,81,"RU"
"13509",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,80,2,100,"GB"
"13510",4,2,4,4,4,5,3,5,5,4,5,5,5,5,3,3,4,4,5,5,5,4,20,1,95,"US"
"13511",5,1,1,2,2,5,2,1,4,1,4,1,1,1,5,5,5,4,5,4,5,4,27,1,80,"US"
"13512",5,1,3,3,4,5,2,5,5,5,5,5,3,1,5,5,4,2,5,5,4,3,52,1,95,"ES"
"13513",1,1,4,2,3,4,3,1,2,1,1,2,2,2,2,2,2,1,2,4,1,1,17,1,93,"US"
"13514",4,1,4,4,5,3,1,5,3,5,2,5,5,5,1,1,1,3,3,4,4,4,27,1,95,"PH"
"13515",4,2,4,4,3,5,3,4,3,2,4,4,4,5,5,3,4,3,3,4,3,3,19,1,88,"AU"
"13516",5,5,5,5,5,5,4,5,5,1,1,1,2,5,3,3,2,4,3,4,1,3,15,2,97,"US"
"13517",1,1,1,2,1,4,3,1,2,1,5,5,4,1,3,4,4,1,5,1,5,4,21,1,90,"US"
"13518",5,4,4,4,1,5,5,2,2,1,1,1,1,5,4,3,1,1,4,4,1,4,19,2,75,"US"
"13519",5,3,5,3,3,4,4,4,2,2,2,2,3,4,5,4,5,3,3,2,4,3,18,2,80,"NZ"
"13520",5,1,5,5,4,5,5,5,5,4,4,4,4,3,3,3,3,3,4,5,4,3,16,1,98,"US"
"13521",4,4,4,4,3,4,4,4,5,2,4,2,5,5,4,4,4,4,2,1,2,3,17,1,75,"MX"
"13522",4,4,4,2,2,5,4,2,5,1,2,2,4,5,5,5,5,5,4,3,2,2,19,1,80,"PT"
"13523",1,3,2,1,2,4,4,3,3,1,4,2,4,3,4,3,2,2,3,3,3,2,63,1,90,"IN"
"13524",2,4,5,4,4,4,4,1,4,1,2,1,1,5,3,2,1,2,5,2,2,1,24,1,90,"PT"
"13525",2,1,1,5,3,5,3,3,4,4,5,5,5,5,3,0,5,2,4,3,4,4,16,1,92,"CA"
"13526",2,2,3,2,2,2,3,2,4,1,1,1,2,2,5,4,4,2,1,4,3,2,19,2,85,"US"
"13527",5,4,2,4,5,5,4,2,5,4,2,5,5,5,5,5,5,5,5,5,4,4,15,1,90,"IL"
"13528",1,4,2,2,2,1,3,1,1,1,1,1,1,2,3,2,4,1,1,1,3,1,45,2,95,"US"
"13529",5,5,5,3,2,5,5,4,5,1,5,1,4,5,5,5,5,2,4,5,4,1,17,1,90,"US"
"13530",4,3,5,3,1,2,5,2,1,1,1,2,1,5,4,4,1,3,5,4,3,2,21,2,60,"US"
"13531",4,2,5,4,4,4,3,4,4,3,5,4,5,5,4,2,4,4,4,4,3,4,15,1,75,"US"
"13532",4,5,5,4,2,3,5,4,5,1,2,2,4,5,5,5,2,4,4,4,4,3,19,1,90,"NZ"
"13533",4,5,4,2,2,4,4,2,4,2,1,1,2,4,4,3,3,3,2,3,2,2,20,2,80,"NZ"
"13534",4,1,2,5,1,5,2,4,5,5,4,4,4,4,1,2,2,4,4,5,4,4,13,2,90,"US"
"13535",5,4,4,3,3,4,4,4,5,5,4,2,4,5,3,2,2,2,2,4,3,2,20,1,90,"AU"
"13536",5,1,5,1,2,5,4,5,5,3,3,5,4,4,1,1,1,1,1,1,3,1,18,1,100,"EC"
"13537",2,2,5,4,4,4,5,2,5,2,3,2,4,4,4,3,1,2,3,4,2,2,15,1,67,"US"
"13538",4,4,5,4,2,4,4,3,4,1,2,1,2,3,4,5,4,3,3,4,4,2,14,2,90,"US"
"13539",2,2,1,1,2,4,1,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,58,1,85,"US"
"13540",1,1,2,4,1,2,2,1,1,1,1,1,4,4,2,2,1,1,2,2,4,2,19,1,89,"US"
"13541",1,5,5,3,5,5,4,0,5,5,5,5,5,5,3,5,2,1,3,5,3,1,15,2,80,"US"
"13542",4,3,2,5,4,4,5,4,4,2,4,4,3,4,4,4,2,4,2,2,2,2,17,1,90,"US"
"13543",2,4,4,1,1,4,4,1,1,1,1,2,1,4,4,1,1,2,2,4,1,1,20,1,75,"US"
"13544",5,3,4,5,5,5,4,4,5,4,4,5,4,4,4,5,4,4,5,5,5,4,31,1,98,"US"
"13545",2,2,2,4,5,5,4,3,5,2,4,4,2,2,3,2,1,1,1,1,3,1,26,1,80,"US"
"13546",5,4,5,4,4,5,5,5,5,3,3,2,1,4,5,5,5,5,3,4,5,2,13,2,80,"US"
"13547",4,2,3,2,1,4,3,2,4,1,1,2,2,3,5,4,4,1,3,4,4,2,18,2,100,"US"
"13548",4,4,5,3,3,3,4,4,4,2,2,1,2,2,5,5,5,4,5,5,5,4,21,1,90,"CA"
"13549",4,2,2,2,4,3,2,5,4,5,5,4,5,5,4,1,3,1,2,5,5,2,20,1,76,"US"
"13550",2,5,5,2,1,4,5,3,4,2,2,1,2,5,3,2,2,2,2,4,2,2,17,2,80,"CA"
"13551",2,3,3,2,2,4,4,4,3,5,4,1,2,5,3,3,3,2,4,5,5,4,18,1,80,"ZA"
"13552",2,3,3,1,1,2,3,2,4,2,1,1,2,2,2,3,2,3,2,3,2,2,0,2,94,"SE"
"13553",2,2,4,4,2,4,2,5,5,1,4,4,2,4,2,1,1,3,4,5,5,4,18,1,100,"US"
"13554",4,4,3,4,4,1,3,2,4,1,1,1,1,3,3,4,3,0,1,4,3,1,16,1,80,"US"
"13555",4,5,3,3,4,4,4,3,5,2,1,2,2,4,5,5,3,3,2,3,2,2,22,1,90,"IN"
"13556",4,2,2,2,4,4,4,4,4,2,5,4,4,4,3,4,3,3,4,4,4,4,21,1,8,"MX"
"13557",4,5,4,4,3,5,4,2,3,3,4,5,3,4,4,4,1,3,2,2,1,2,19,1,70,"DE"
"13558",3,3,3,3,1,3,3,3,2,2,2,2,2,3,3,3,1,2,2,2,3,1,22,1,80,"IN"
"13559",4,3,4,4,4,4,4,4,4,4,1,3,2,5,4,2,4,3,2,4,3,2,17,1,90,"SI"
"13560",1,2,4,2,1,5,1,1,4,1,5,1,4,1,2,2,2,2,4,5,4,4,19,1,100,"US"
"13561",5,2,4,5,5,5,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,20,2,99,"US"
"13562",4,3,3,3,3,5,5,4,4,3,4,3,4,5,5,5,5,4,5,5,4,3,26,2,95,"US"
"13563",5,4,5,5,4,5,5,5,5,3,2,2,2,3,5,5,5,4,3,4,2,3,20,1,10,"US"
"13564",5,1,1,1,5,5,1,5,1,5,5,1,5,5,1,1,5,1,1,1,1,1,24,1,90,"US"
"13565",3,1,2,1,5,5,2,5,3,5,5,3,5,5,3,2,1,2,5,5,5,4,19,1,90,"AU"
"13566",1,4,3,2,1,4,4,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,13,2,85,"SG"
"13567",4,2,5,3,3,4,4,3,5,2,2,2,2,4,4,4,4,4,3,3,5,2,21,1,75,"GB"
"13568",4,1,4,2,5,2,2,2,3,2,2,2,3,3,2,1,3,1,2,4,3,2,26,1,80,"US"
"13569",4,1,2,5,4,5,2,3,3,2,2,2,3,4,5,5,4,4,2,4,4,2,19,2,85,"US"
"13570",5,4,4,2,5,4,3,4,5,4,2,2,3,4,5,5,5,2,3,2,5,1,26,1,85,"HK"
"13571",4,2,4,4,3,4,2,4,5,2,2,2,2,4,4,4,4,4,5,5,2,4,16,1,85,"US"
"13572",5,5,5,5,5,5,5,5,5,4,5,2,3,5,5,2,4,5,5,5,5,5,21,2,80,"AU"
"13573",5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,26,1,100,"US"
"13574",4,2,4,2,4,3,3,4,4,4,3,2,4,4,4,4,4,4,2,3,3,2,20,1,73,"ID"
"13575",1,1,1,1,5,5,1,5,5,5,1,1,5,5,1,1,5,1,1,1,1,1,24,1,85,"US"
"13576",4,1,5,1,4,4,2,4,5,1,2,4,3,4,4,2,4,2,2,4,1,1,29,2,90,"BG"
"13577",2,1,2,1,2,3,3,1,2,2,2,2,4,4,4,4,3,2,2,3,1,2,22,1,90,"DE"
"13578",5,5,5,2,4,4,4,4,5,5,2,2,4,5,5,5,2,4,4,5,5,2,18,1,90,"GB"
"13579",4,3,5,2,4,4,4,4,5,5,4,4,4,4,4,4,4,2,4,4,4,4,23,1,80,"PL"
"13580",5,1,4,2,3,4,2,1,5,2,1,2,1,1,3,2,1,1,1,4,3,2,16,2,90,"US"
"13581",2,4,2,2,2,4,1,2,3,2,1,2,3,4,3,4,3,3,4,2,3,2,40,2,90,"AU"
"13582",5,5,5,4,5,4,5,5,5,4,2,3,3,5,5,2,2,4,4,5,4,2,19,1,75,"GB"
"13583",4,2,5,1,1,5,4,4,5,1,1,2,1,2,4,5,1,3,4,1,1,1,25,3,33,"DE"
"13584",4,3,3,2,3,4,3,2,4,1,1,1,3,3,1,3,3,1,1,1,1,1,21,1,85,"US"
"13585",3,4,3,3,3,3,4,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,31,1,90,"RO"
"13586",5,5,4,3,4,5,5,5,4,5,4,1,4,5,5,4,2,4,4,4,4,4,22,1,80,"US"
"13587",2,3,2,2,4,4,3,2,2,1,2,1,1,5,2,2,2,2,2,4,2,2,47,2,90,"GB"
"13588",2,2,2,1,3,4,4,4,2,2,5,5,5,5,2,2,1,4,4,5,4,3,27,1,80,"AU"
"13589",5,5,4,4,1,5,5,2,5,4,3,5,3,4,5,5,5,4,4,5,5,4,18,1,67,"AU"
"13590",2,3,2,2,2,3,4,2,3,1,2,2,2,2,4,4,4,2,4,4,4,2,23,1,99,"AU"
"13591",4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,5,3,3,25,1,76,"EU"
"13592",5,4,4,4,4,5,5,5,4,3,1,5,4,3,2,4,2,1,4,5,1,3,25,3,50,"AU"
"13593",5,5,5,3,4,4,4,3,5,2,2,1,4,4,4,3,4,2,1,4,3,1,19,2,1,"AU"
"13594",2,1,5,1,1,2,3,1,1,1,1,1,1,5,4,4,2,1,4,4,4,2,22,1,90,"AU"
"13595",4,4,1,1,1,2,4,1,4,1,1,1,2,2,4,4,1,3,4,3,3,1,17,2,88,"AU"
"13596",4,4,5,2,5,5,2,5,5,5,4,5,3,5,2,2,1,1,3,4,1,3,19,1,100,"US"
"13597",5,3,4,3,4,4,3,3,2,1,4,4,3,4,3,3,4,3,2,2,1,3,18,1,95,"US"
"13598",4,1,5,2,4,5,2,5,5,2,4,4,4,5,4,2,2,4,5,5,5,4,19,1,90,"CA"
"13599",2,4,3,3,3,4,4,2,4,2,2,4,2,4,4,4,2,3,2,4,2,3,16,2,98,"AU"
"13600",4,5,5,2,5,5,4,5,5,4,2,1,2,1,5,5,5,2,2,4,4,1,21,1,90,"AU"
"13601",2,1,2,2,4,4,2,4,5,5,4,2,4,5,4,4,2,4,4,4,5,4,19,2,80,"US"
"13602",2,4,4,2,3,4,4,2,5,2,3,3,3,4,4,4,4,4,5,5,4,2,17,1,75,"AU"
"13603",4,4,4,2,2,5,4,4,4,3,2,2,4,5,5,4,4,1,4,4,4,2,24,1,80,"SG"
"13604",5,5,5,5,5,5,5,5,5,1,3,3,5,5,5,5,5,5,5,5,4,2,21,1,90,"AU"
"13605",5,4,4,4,3,5,3,3,5,1,4,1,4,5,5,5,4,3,4,4,4,2,17,1,88,"DE"
"13606",5,4,2,0,4,5,2,4,2,1,5,4,4,5,5,5,5,5,5,5,1,5,15,1,100,"BR"
"13607",4,1,1,3,5,5,2,4,2,4,4,5,3,4,5,5,5,3,4,5,5,4,14,2,90,"US"
"13608",2,1,4,3,5,5,2,1,3,4,5,2,4,5,3,1,3,3,5,3,3,4,38,2,78,"AU"
"13609",4,5,5,3,4,3,4,3,4,3,4,4,4,4,5,4,3,4,5,5,4,4,17,2,95,"US"
"13610",5,4,4,3,3,4,5,3,5,2,2,3,3,5,5,4,5,4,5,4,5,4,29,1,85,"NZ"
"13611",4,2,1,2,3,4,2,5,4,2,3,3,3,5,5,2,4,4,4,4,4,3,23,1,80,"GB"
"13612",5,2,4,4,4,5,5,5,5,2,4,4,4,5,5,4,5,2,2,1,4,1,22,1,65,"GB"
"13613",4,2,3,2,4,5,3,1,2,2,5,2,1,4,4,4,3,3,4,5,2,1,43,1,85,"US"
"13614",3,4,4,4,5,4,4,5,4,5,5,4,5,5,1,1,1,2,1,5,1,1,20,1,52,"US"
"13615",5,1,2,4,5,5,4,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5,16,1,85,"LV"
"13616",5,4,1,1,2,5,1,4,5,1,1,1,5,3,1,4,3,1,1,4,1,1,32,1,100,"US"
"13617",2,4,2,2,2,3,4,4,4,2,4,5,2,5,2,2,3,1,1,2,3,2,21,1,80,"GB"
"13618",4,4,4,1,1,4,5,0,1,2,1,4,1,4,4,4,1,1,1,4,4,1,42,2,96,"US"
"13619",5,1,4,2,3,5,1,4,5,1,5,5,4,5,5,4,5,3,5,5,5,4,18,1,100,"US"
"13620",3,4,3,2,3,3,2,2,4,2,2,2,3,3,3,2,2,2,2,4,4,2,26,2,80,"US"
"13621",2,4,4,1,2,3,4,1,3,1,1,1,1,3,3,1,1,1,1,1,2,1,32,2,99,"US"
"13622",4,4,4,1,2,2,3,1,4,1,1,4,2,2,3,4,4,4,1,2,3,1,15,2,90,"US"
"13623",2,4,5,2,3,4,4,3,3,2,2,2,1,4,4,4,2,2,1,3,2,2,18,1,90,"GB"
"13624",2,1,2,3,1,5,5,3,4,2,2,1,1,4,2,2,4,4,4,4,5,1,17,2,90,"US"
"13625",5,3,2,3,2,4,3,3,4,3,4,4,2,2,3,2,2,1,2,4,4,2,17,2,90,"US"
"13626",3,5,3,1,3,4,3,5,4,1,5,2,2,1,3,3,3,2,4,3,4,2,17,2,90,"US"
"13627",5,5,5,4,2,4,5,5,5,1,2,2,4,4,5,4,5,2,4,4,2,2,14,1,78,"GB"
"13628",4,4,3,2,3,5,4,2,4,2,2,3,4,3,4,2,4,3,3,4,2,3,25,1,80,"US"
"13629",3,2,4,3,3,4,3,2,4,3,4,4,4,4,3,3,2,2,2,4,2,2,17,1,80,"US"
"13630",4,4,4,5,4,4,5,4,4,3,4,2,3,4,5,5,4,4,4,4,4,4,20,1,90,"FR"
"13631",5,4,4,2,2,1,4,2,4,2,5,1,2,1,4,2,1,2,2,3,1,1,18,2,90,"IE"
"13632",2,4,4,1,2,2,4,2,3,2,1,3,1,3,4,4,1,2,2,1,2,1,29,3,95,"US"
"13633",2,2,4,2,1,4,3,2,3,2,1,1,1,3,3,1,1,1,1,2,1,1,37,1,60,"US"
"13634",3,3,4,1,2,4,4,1,2,2,1,2,1,4,2,1,1,2,2,4,2,2,42,2,70,"US"
"13635",4,5,4,2,4,4,4,3,4,3,4,3,4,4,4,4,3,4,2,5,5,3,43,2,75,"US"
"13636",4,1,3,3,5,5,2,4,4,4,4,3,4,4,4,1,5,3,4,4,5,4,15,1,95,"CA"
"13637",4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,15,1,100,"US"
"13638",5,2,4,1,2,4,4,5,2,1,1,1,1,2,3,4,2,1,1,2,4,1,19,1,60,"GB"
"13639",5,1,3,5,5,5,1,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,23,1,100,"KW"
"13640",2,2,4,2,5,4,3,4,2,3,4,2,4,4,3,2,2,3,3,3,3,3,21,1,70,"AU"
"13641",5,5,2,2,3,5,5,4,5,4,2,2,2,4,4,4,4,3,3,4,5,2,15,2,80,"US"
"13642",5,4,5,2,2,5,4,5,3,1,2,2,4,5,4,2,2,2,1,4,3,1,45,1,80,"US"
"13643",4,1,3,5,5,5,3,5,3,5,5,5,5,1,5,5,5,3,5,5,5,5,55,1,95,"US"
"13644",4,5,5,2,2,4,4,3,5,2,2,2,2,4,3,3,4,4,2,4,2,2,17,2,90,"US"
"13645",5,4,4,2,4,5,4,5,5,1,2,2,3,5,4,3,4,3,4,4,4,3,17,1,85,"US"
"13646",4,4,5,4,5,4,2,4,5,2,2,2,2,3,4,2,3,3,2,4,2,3,18,1,90,"US"
"13647",5,2,4,5,4,5,3,4,4,4,5,5,5,5,5,5,5,4,5,5,4,5,18,2,96,"BR"
"13648",4,2,2,3,3,4,3,2,3,2,5,4,3,3,4,3,2,2,2,4,3,3,15,1,60,"CA"
"13649",5,2,3,2,2,5,4,4,5,3,5,2,3,4,5,4,4,4,5,4,4,4,15,2,90,"CA"
"13650",3,4,1,2,5,5,5,1,1,1,1,1,1,4,4,4,1,1,1,1,4,1,46,2,90,"GB"
"13651",4,1,1,5,4,5,4,5,4,1,5,5,5,4,5,5,5,4,5,5,5,5,63,1,95,"US"
"13652",2,4,3,2,3,3,4,3,4,2,1,2,3,2,3,3,2,3,2,4,2,2,21,1,90,"CA"
"13653",5,4,5,3,1,5,5,4,5,1,5,4,4,5,2,2,2,3,4,1,4,2,30,1,90,"GB"
"13654",4,2,3,3,5,4,4,3,4,2,3,3,2,4,4,3,4,4,5,3,5,4,0,2,70,"NL"
"13655",3,4,5,4,4,4,4,4,5,3,2,1,4,4,4,5,3,2,4,5,4,4,18,1,75,"CA"
"13656",4,1,2,2,4,5,2,4,4,4,5,4,4,4,4,2,4,2,4,4,4,2,19,1,74,"CA"
"13657",5,1,2,5,5,5,1,5,4,4,5,5,5,4,5,5,5,4,3,5,3,4,18,1,100,"GB"
"13658",4,4,2,4,3,4,4,2,2,4,1,1,2,2,5,2,3,2,1,2,1,2,14,2,75,"CA"
"13659",5,3,3,5,1,5,4,5,5,1,1,2,2,4,5,3,3,4,3,4,4,3,17,2,97,"US"
"13660",5,4,5,3,5,5,1,2,4,2,4,4,4,4,4,4,4,4,3,4,4,4,25,2,90,"US"
"13661",5,4,5,2,2,5,4,4,5,3,2,2,4,3,5,5,5,4,4,4,4,2,29,1,60,"US"
"13662",4,5,5,5,5,5,4,4,4,2,1,2,4,4,4,4,2,4,2,4,3,3,26,1,40,"US"
"13663",4,3,3,2,2,3,4,1,3,2,3,1,2,4,2,3,1,2,1,4,2,1,26,1,80,"US"
"13664",5,4,4,3,2,4,4,4,4,4,4,2,3,4,4,3,4,3,4,3,4,4,20,2,96,"IT"
"13665",1,4,3,5,1,5,4,1,5,3,3,3,2,5,5,5,2,2,1,1,3,1,22,2,75,"IT"
"13666",3,5,5,2,4,5,5,2,5,2,1,2,2,5,4,4,3,2,2,4,2,2,21,1,80,"BR"
"13667",3,2,4,3,4,4,2,2,3,2,1,1,2,2,3,4,4,2,1,4,4,2,32,2,96,"US"
"13668",1,2,3,2,3,4,2,2,5,3,1,2,2,2,4,4,4,2,1,4,2,2,30,1,75,"AU"
"13669",1,4,4,1,4,2,3,1,4,1,2,1,4,4,4,3,1,2,3,4,4,3,40,1,85,"US"
"13670",4,5,5,2,2,2,3,4,4,1,1,1,4,3,4,3,3,3,5,5,4,4,17,2,75,"US"
"13671",4,1,4,2,1,2,2,4,3,4,1,5,2,2,2,2,2,2,4,5,4,2,19,1,99,"US"
"13672",1,5,3,3,1,4,3,1,1,1,1,1,1,5,4,2,2,1,1,4,2,1,14,2,70,"GB"
"13673",5,1,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,19,1,95,"US"
"13674",0,2,4,4,0,4,4,2,4,2,2,2,0,4,5,5,4,2,4,5,4,2,22,1,90,"US"
"13675",4,3,4,2,4,4,2,5,5,2,4,4,4,4,5,4,4,4,4,3,3,4,20,2,42,"US"
"13676",4,3,3,2,4,4,4,2,4,3,2,2,3,4,4,4,4,3,3,4,4,3,48,1,90,"US"
"13677",4,4,4,3,2,4,3,2,4,2,1,1,1,4,2,2,2,3,2,4,5,2,22,2,70,"AU"
"13678",5,4,5,1,1,4,5,3,4,1,1,1,3,4,4,4,2,1,2,4,4,1,22,1,80,"AU"
"13679",5,5,5,5,3,4,5,3,4,2,2,2,3,4,5,5,4,4,4,4,4,3,18,2,90,"AU"
"13680",4,4,1,5,5,4,5,4,5,1,2,5,3,4,5,4,4,4,4,5,1,2,21,1,80,"AL"
"13681",3,5,1,1,1,2,4,1,1,1,1,1,1,1,5,4,3,1,1,1,1,1,15,1,85,"US"
"13682",5,4,5,4,5,5,5,5,5,5,4,2,5,5,5,5,3,3,3,4,2,3,18,1,85,"US"
"13683",4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,5,5,4,17,2,69,"GB"
"13684",5,2,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,16,2,98,"US"
"13685",5,5,5,5,5,5,4,5,5,2,5,4,5,4,5,5,5,5,5,5,5,5,15,2,97,"US"
"13686",2,1,1,3,2,2,2,1,1,1,1,1,1,1,4,3,1,1,1,4,4,1,46,2,90,"CA"
"13687",5,3,4,4,5,3,2,4,2,4,3,4,4,4,5,5,4,4,4,4,5,3,28,1,75,"US"
"13688",4,4,4,4,4,4,4,4,5,4,4,1,4,4,3,2,3,2,2,3,1,2,20,1,95,"US"
"13689",2,5,4,3,1,4,4,3,4,2,1,1,1,4,4,4,3,3,2,3,3,2,57,1,80,"NZ"
"13690",4,2,2,2,4,3,4,2,3,1,4,4,4,4,5,5,3,2,2,4,2,2,20,2,100,"US"
"13691",4,3,4,2,4,4,4,4,4,2,2,3,2,4,4,4,4,4,4,2,4,4,26,1,80,"AU"
"13692",3,5,5,4,4,4,5,4,5,1,3,2,4,5,3,4,3,4,4,4,2,2,18,2,95,"AU"
"13693",4,3,4,3,4,3,4,3,4,3,3,4,4,5,4,3,4,3,4,4,4,3,18,2,90,"AU"
"13694",3,3,4,2,3,4,4,2,4,3,2,2,3,4,4,4,2,3,5,4,3,4,20,2,90,"US"
"13695",4,4,4,3,4,4,4,4,4,3,4,2,4,5,4,4,4,4,4,4,4,3,21,1,80,"CA"
"13696",4,4,4,2,2,4,4,2,4,2,2,2,4,4,4,2,2,2,4,4,4,2,27,1,50,"US"
"13697",4,2,4,3,5,4,3,4,4,2,1,1,2,5,2,1,2,1,1,2,1,1,20,1,95,"US"
"13698",5,2,3,1,2,5,1,3,5,1,2,2,4,1,3,3,3,2,4,4,2,2,17,1,80,"NZ"
"13699",4,4,4,2,2,4,4,2,3,2,1,4,4,4,2,2,2,2,4,4,2,4,16,1,84,"US"
"13700",2,4,3,2,3,4,4,3,4,2,3,2,2,3,3,2,3,3,2,3,2,2,18,1,70,"SG"
"13701",4,2,2,3,2,3,2,3,5,2,2,1,3,5,4,3,4,2,3,4,4,2,25,1,80,"US"
"13702",5,4,4,0,5,5,5,4,4,2,2,2,4,5,5,1,4,2,4,4,2,4,21,1,87,"US"
"13703",3,4,4,3,4,3,4,3,3,3,2,4,3,4,4,3,2,4,4,4,4,2,33,2,90,"US"
"13704",3,2,2,2,3,4,4,2,4,3,2,1,2,2,5,4,4,1,1,1,2,1,22,2,100,"US"
"13705",1,2,4,1,3,4,2,2,2,2,4,4,3,5,1,1,1,2,4,4,2,3,22,2,80,"GB"
"13706",5,5,4,2,2,5,5,5,4,1,1,1,1,4,5,1,1,3,3,2,3,1,26,1,95,"AU"
"13707",4,1,1,4,5,5,3,5,5,4,4,2,4,5,5,3,4,4,2,4,4,3,27,1,85,"US"
"13708",4,1,2,5,4,4,1,4,4,5,4,3,3,4,4,4,5,1,2,4,1,2,18,1,100,"SE"
