"A","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","elapse","NPI_Score","AR","gender","age"
2608,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,159,1.525,,1,64
2609,2,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,326,1.55,,1,45
2610,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,146,1.425,,1,19
2611,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,2,250,1.475,,1,52
2612,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,293,1.475,,2,38
2613,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,250,1.775,,2,26
2614,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,350,1.55,,1,31
2615,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,376,1.475,,1,24
2616,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,235,1.55,,2,33
2617,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,242,1.45,,1,21
2618,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,224,1.575,,2,54
2619,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,806,1.5,,1,68
2620,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,140,1.45,,2,19
2621,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,384,1.475,,2,52
2622,2,2,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,335,1.525,,2,46
2623,1,2,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,324,1.55,,1,33
2624,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,0,1,2,1,1,2,2,2,2,1,193,1.475,,2,31
2625,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,0,2,1,2,2,1,1,301,1.4,,1,38
2626,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,215,1.625,,2,19
2627,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,223,1.65,,1,40
2628,2,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,267,1.55,,1,51
2629,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,360,1.625,,2,57
2630,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1,328,1.45,,1,28
2631,1,2,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,212,1.5,,1,40
2632,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,206,1.525,,1,35
2633,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,234,1.625,,1,50
2634,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,475,1.475,,1,32
2635,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,209,1.65,,1,21
2636,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,265,1.575,,2,19
2637,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,257,1.65,,2,18
2638,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,289,1.575,,2,63
2639,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,368,1.55,,1,30
2640,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,0,2,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,180,1.5,,1,35
2641,1,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,252,1.5,,2,24
2642,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,224,1.55,,1,44
2643,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,216,1.425,,2,44
2644,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,337,1.5,,1,23
2645,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,170,1.55,,2,17
2646,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,195,1.55,,1,36
2647,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2,304,1.45,,2,36
2648,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,583,1.475,,1,56
2649,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,189,1.55,,1,50
2650,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,253,1.45,,1,30
2651,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,327,1.45,,1,24
2652,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,405,1.475,,1,30
2653,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,312,1.575,,1,33
2654,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,289,1.55,,2,20
2655,2,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,163,1.5,,2,20
2656,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,384,1.5,,2,45
2657,2,2,2,1,1,2,0,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,382,1.575,,1,18
2658,1,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,256,1.475,,1,32
2659,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,391,1.55,,1,29
2660,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,263,1.475,,1,30
2661,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,2,787,1.525,,1,32
2662,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,169,1.475,,2,18
2663,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,264,1.5,,1,32
2664,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,217,1.5,,2,58
2665,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,256,1.55,,1,26
2666,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,421,1.55,,1,46
2667,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,415,1.525,,2,30
2668,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,421,1.5,,2,35
2669,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,328,1.5,,1,32
2670,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,158,1.6,,2,52
2671,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,1,294,1.475,,2,41
2672,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,318,1.55,,0,48
2673,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,375,1.6,,2,22
2674,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,256,1.4,,2,41
2675,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,211,1.55,,1,19
2676,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,142,1.55,,2,39
2677,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,288,1.375,,1,21
2678,1,2,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,378,1.525,,2,40
2679,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,254,1.6,,1,22
2680,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,402,1.45,,1,33
2681,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,161,1.35,,2,21
2682,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,227,1.525,,2,22
2683,1,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,169,1.525,,1,18
2684,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,2,2,1,188,1.5,,1,23
2685,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,0,2,1,1,1,1,2,1,1,2,1,1,2,2,287,1.425,,1,30
2686,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,215,1.5,,1,39
2687,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,287,1.525,,1,42
2688,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,2,222,1.5,,2,30
2689,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2,2,1,299,1.625,,1,62
2690,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,1,2,211,1.625,,1,54
2691,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,428,1.425,,2,52
2692,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,252,1.55,,1,45
2693,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,1,164,1.55,,1,21
2694,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,329,1.35,,1,50
2695,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,192,1.5,,2,31
2696,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,431,1.325,,1,20
2697,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,1,228,1.575,,1,44
2698,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,299,1.625,,2,24
2699,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,0,2,2,228,1.425,,1,47
2700,1,2,2,1,1,2,2,2,1,0,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,1,240,1.525,,2,21
2701,2,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,172,1.525,,2,44
2702,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,188,1.475,,2,29
2703,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,368,1.3,,1,36
2704,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,483,1.65,,1,34
2705,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,183,1.55,,1,26
2706,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,173,1.6,,1,20
2707,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,277,1.625,,1,19
2708,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,449,1.425,,1,25
2709,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,214,1.525,,2,55
2710,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,180,1.4,,1,18
2711,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,326,1.475,,1,60
2712,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,475,1.625,,1,28
2713,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,212,1.525,,2,55
2714,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,279,1.425,,2,15
2715,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,2,198,1.55,,1,40
2716,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,226,1.45,,1,21
2717,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,137,1.675,,1,27
2718,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,2,202,1.575,,1,18
2719,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,356,1.5,,1,30
2720,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,2,1,749,1.475,,2,32
2721,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,255,1.625,,3,56
2722,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,289,1.475,,1,50
2723,1,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,226,1.55,,2,39
2724,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,273,1.45,,1,21
2725,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,206,1.625,,1,60
2726,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,161,1.525,,2,59
2727,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,329,1.45,,2,19
2728,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,168,1.6,,1,26
2729,2,2,2,1,1,2,1,2,2,1,2,2,2,0,2,2,2,0,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,251,1.525,,1,59
2730,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,260,1.575,,1,33
2731,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,193,1.475,,2,35
2732,1,2,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,272,1.525,,2,24
2733,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,259,1.625,,1,62
2734,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,193,1.375,,1,51
2735,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,181,1.55,,1,35
2736,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,486,1.575,,1,47
2737,2,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,270,1.575,,1,26
2738,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,419,1.45,,1,27
2739,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,0,2,1,2,2,1,1,1,162,1.45,,2,40
2740,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,317,1.6,,1,21
2741,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,186,1.575,,2,53
2742,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,222,1.525,,1,22
2743,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,2,342,1.45,,1,58
2744,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,330,1.55,,1,62
2745,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2,149,1.45,,1,31
2746,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,311,1.6,,1,31
2747,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1,237,1.525,,2,23
2748,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,1,257,1.6,,1,32
2749,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,105,1.55,,1,35
2750,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,159,1.575,,1,31
2751,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,250,1.45,,1,23
2752,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,237,1.625,,2,64
2753,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,414,1.5,,2,54
